name,link,price_simbol,price,price_discount,best_seller,promotional
Bicicleta Veloci Street Cross Girly Roda...,https://www.linio.com.mx/p/bicicleta-veloci-street-cross-girly-rodado-12-rosa-n0r3ux?qid=9f1809bb384d6109c23de67250aa7ea8&oid=VE138SP1AMXA6LMX&position=21&sku=VE138SP1AMXA6LMX,,"$1,679.30",- 30%,False,False
Bicicleta Veloci Spiderman Be Ultimate R...,https://www.linio.com.mx/p/bicicleta-veloci-spiderman-be-ultimate-rodado-12-rojo-azul-orermi?qid=9f1809bb384d6109c23de67250aa7ea8&oid=VE138SP118EJ3LMX&position=22&sku=VE138SP118EJ3LMX,,"$1,679.30",- 30%,False,False
Bicicleta Veloci Street Cross Xtreme Rod...,https://www.linio.com.mx/p/bicicleta-veloci-street-cross-xtreme-rodado-14-naranaja-vaen4u?qid=9f1809bb384d6109c23de67250aa7ea8&oid=VE138SP0GSCSILMX&position=23&sku=VE138SP0GSCSILMX,,"$1,469.30",- 30%,False,False
Bicicleta Veloci Saurious Infantil Rodad...,https://www.linio.com.mx/p/bicicleta-veloci-saurious-infantil-rodado-12-verde-wz8o7i?qid=9f1809bb384d6109c23de67250aa7ea8&oid=VE138SP09F2JLLMX&position=24&sku=VE138SP09F2JLLMX,,"$1,189.30",- 30%,False,False
Bicicleta Veloci Winbledom City Rodado 2...,https://www.linio.com.mx/p/bicicleta-veloci-winbledom-city-rodado-26-cafe-cobre-x0i74a?qid=9f1809bb384d6109c23de67250aa7ea8&oid=VE138SP082ZZBLMX&position=25&sku=VE138SP082ZZBLMX,,"$2,729.00",- 30%,False,False
Bicicleta Veloci Dyno Steel Rodado 16 Ro...,https://www.linio.com.mx/p/bicicleta-veloci-dyno-steel-rodado-16-rojo-ykvh2y?qid=9f1809bb384d6109c23de67250aa7ea8&oid=VE138SP05JAJELMX&position=26&sku=VE138SP05JAJELMX,,"$1,469.30",- 30%,False,False
Bicicleta Veloci Ever After High Royally...,https://www.linio.com.mx/p/bicicleta-veloci-ever-after-high-royally-rebellious-rodado-16-rosa-ym3fmf?qid=9f1809bb384d6109c23de67250aa7ea8&oid=VE138SP04GEM6LMX&position=27&sku=VE138SP04GEM6LMX,,"$1,469.30",- 30%,False,False
Bicicleta Infantil para niño Rodada 12...,https://www.linio.com.mx/p/bicicleta-infantil-para-nin-o-rodada-12-con-llanta-de-goma-lfkp8y?qid=9f1809bb384d6109c23de67250aa7ea8&oid=UN503SP1E4T5ELMX&position=28&sku=UN503SP1E4T5ELMX,,"$1,449.00",,False,False
Bicicleta Infantil para niño Rodada 12...,https://www.linio.com.mx/p/bicicleta-infantil-para-nin-o-rodada-12-con-llanta-de-goma-tp9fpu?qid=9f1809bb384d6109c23de67250aa7ea8&oid=UN503SP0KD4WILMX&position=29&sku=UN503SP0KD4WILMX,,"$1,449.00",,False,False
Bicicleta Infantil para niño rodada 16...,https://www.linio.com.mx/p/bicicleta-infantil-para-nin-o-rodada-16-inferno-vc5uno?qid=9f1809bb384d6109c23de67250aa7ea8&oid=UN503SP0F4GBFLMX&position=30&sku=UN503SP0F4GBFLMX,,"$2,159.00",,False,False
