,name,link,price,price_discount,best_seller,promotional,category_id,number_sales,seller,delivery,rating,new_product
10,Estuche Maleta Alforja Bolso Porta Celular Bicicleta Grande,https://articulo.mercadolibre.com.co/MCO-469689556-estuche-maleta-alforja-bolso-porta-celular-bicicleta-grande-_JM?searchVariation=46601654124#searchVariation=46601654124&position=11&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,27.900,,False,False,MCO12214,  3435 vendidos,RUNBIKE.COM.CO,,4.8,Nuevo
11,Luz Linterna Recargable Usb Led Bicicleta Delantera O Traser,https://articulo.mercadolibre.com.co/MCO-454129676-luz-linterna-recargable-usb-led-bicicleta-delantera-o-traser-_JM#position=12&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,9.900,,False,False,MCO12214,  4232 vendidos,RUNBIKE.COM.CO,,4.6,Nuevo
12,Velocï¿½metro Bicicleta Odï¿½metro+ Soporte West Biking Calorias,https://articulo.mercadolibre.com.co/MCO-525785965-velocimetro-bicicleta-odometro-soporte-west-biking-calorias-_JM#position=13&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,82.400,,False,False,MCO12214,  815 vendidos,PRODUCTOS MAW,,4.4,Nuevo
13,Soporte Pared Bicicleta 3 Unid + Tornillos-chazos +obsequio,https://articulo.mercadolibre.com.co/MCO-479616259-soporte-pared-bicicleta-3-unid-tornillos-chazos-obsequio-_JM?searchVariation=50970645632#searchVariation=50970645632&position=14&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,44.700,,False,False,MCO12214,  1600 vendidos,KORINTIO.COM,,4.5,Nuevo
14,Rodillos Para Bicicleta En Teflï¿½n Y Acero Inoxidable,https://articulo.mercadolibre.com.co/MCO-571876861-rodillos-para-bicicleta-en-teflon-y-acero-inoxidable-_JM#position=15&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,89.900,,False,False,MCO12214,  515 vendidos,ZENAIDACALLEJAS,,4.0,Nuevo
15,Computador Bicicleta Odometro Velocï¿½metro Mtb,https://articulo.mercadolibre.com.co/MCO-478970918-computador-bicicleta-odometro-velocimetro-mtb-_JM#position=16&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,37.990,,False,False,MCO12214,  3499 vendidos,LAVELOZTIENDA,,4.4,Nuevo
16,Soporte Bicicleta Pared Original Tornillos Ychazos +obsequio,https://articulo.mercadolibre.com.co/MCO-453053519-soporte-bicicleta-pared-original-tornillos-ychazos-obsequio-_JM?searchVariation=57701823324#searchVariation=57701823324&position=17&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,14.800,,False,False,MCO12214,  1335 vendidos,KORINTIO.COM,,4.4,Nuevo
17,Combo Casco Ruta + Luces Sapito Delantera Y Trasera,https://articulo.mercadolibre.com.co/MCO-581942967-combo-casco-ruta-luces-sapito-delantera-y-trasera-_JM?searchVariation=65914514069#searchVariation=65914514069&position=18&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,64.900,,False,False,MCO12214,  728 vendidos,LACACHARRERIAVIRTUAL.COM,,4.6,Nuevo
18,Soporte De Pared Para Bicicleta Gancho + Chazos Y Tornillos,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=aC0dpxOZlkgT1Wk7yG7X86OCQ5%2B2sU2HYbi5olKWl8a%2FuDY5hOAGCcGt6mosrMeZUOvl%2BTS8i1MjB5o6uEai65DNI88u9pmqUWaDiApdmVSFtthaRhVJ6ENQ2gzMqejLNjhJxT%2BquPhPbytt18ft63GEpyfnmnDcsQSvDvCfLCJ%2FrbWj%2FcyOEAMDmcbuoDoy1pxe8tbUOF4MtobKO2pfl6vg99fKYiLuxAxuUmruMAEVWCHSLB8rJuIhNWW27fnEFR0c84jM70IiWzT8sMLS%2FdAuIkpCuE%2Bw1HhRSSepB9PmQIy%2BQjxjaenASNTyEr7I1aSeSivaJ6YJMaXq0m8iAQXcxfzB935J7L%2FU%2BQI274MbTt3YcBzF2ACKnHp5RImwxVqVqhqV0GOJNbhvi6ROydIxI9YdfAKz4%2Fe9laiWtlVbpoj7D6CE3iIJ9z9pFWojWkcCZsUzz1lrocE%2FjsGl8HYSZZ7RxZ2j4n6L8DG06I8kw5qK%2FxS46GyOyyq%2FagFd%2Bdx7Sqyeq8RYf9QEiNl0bwWw9VBeiIXjA65FkmZi66IONf51bR0DUVYY2BinsusYyqlmaFc6unxrPSg2yOTewlikq2iA2LivD%2BBFqbPdAqfmh2jY2DMwEZi8fmDSG8uwgKy23CqMA8WoHGd%2BatPrm39oiJ%2FALG6GMs%2F%2FUuT6PJnpP5925PsaLeKnchPqmUs0M4r4wQEhPWDRsQFBK0nWuKpK3DiOZ3ut8spQH15RKq9HYc42MuEkNI8w%2FWWtgltzpAYJPTJsVVlTtT3RoDbrRYZvyBIXChQsAy59hXEQ2eZ4HbgqiprifcP2uZ0svXhxkKHVp66hvw4pUjlUgJ%2Fx9YkIqFUgW5%2FYoG6CBpKJHOoiV7Y0B0GzZd21DK%2FdbSMGdl6JFcCcL5nkSSHo%2B%2BXjUSsQWht4YM6XtIPAVrb1sA0lEIq7Puk6f%2FATwGvvVi5eT7jZpW72XnXXl25zmsrwcCKfZj4CO6aVhIpgfLLoNhGZXWk7dD4GnyBnHUHAKnwkhTEIG4JvywaaTJFtElR6ZQki9h98RhDViJ4kvo56E%2FtvpCVqti8A1rPIEeCDZibr9II632PbJJO41v5T8HT4fYNy%2BYeKelW7H1cNoVxXGjpTS8ejEtsC%2BUmqdh7FoArrXN7m7TYwLYTgncowHby%2B%2FJ2NLCS3s30DuTtm2jaae8js3v4cYa6r1VO10Lz2TANO3PAMCN9uUU8skdAV6vakJS0N%2F3s93npD3WS6y1T3Zh5SpUhFquDt%2Fafjz07dzW%2BRh%2FM5g%2FnvvaK3ByYY%2Fb5CL%2Bkd15C6yQKz%2FTE54rhNIzYVzTm3wEZFFhC42H45QMFo%2BN1kioldx%2BXSNREWDQfVTJfXKMCw137tdU1mcwaCjR%2FPnf0lamMhCt1UrmGUER%2BOftTatmrKWEdqEu9npl7gTzNgImmKHagKyyDYnX%2BidkRKSHFf5R9oO5PlJdpRstXXJVRxNpBZ%2B7jwmRhBqnCiI9TA3KZ59GPQTz59OWQI8X1IzWU%2BpoP1v35ILO6JYXwIRUqR5ll7Gnhc8l3ZT%2B7n6dX11po3pGo%3D,16.990,,False,True,MCO12214,  1921 vendidos,KONEET,,4.7,Nuevo
19,Porta Bicicletas X 3 Soporte Carro Cicla + Envï¿½o Gratis,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=R35oVZefesLPl%2BFKTwrxClVnJ5yUbm4eVSM5y2ibAoIqKwIZoDxT8jHd5f7STGARKiHkFtkXUCo2q84n2yvOejA4mZ4SlD%2BUJZ%2BQBvHOGI3SMBeleAl%2FCg0ycclg%2FzkcuszsPdwsdTBoovM0dcM7%2BupFXeRDq622fprMUJYYlBFBfLa6oA59m%2BaxUL5QxV%2Bf2wDoMgcnGxkGHWMb5MNWna%2BoWjaCv0U4q8MgOrzX31y9XjNdVvEQRcoXd1ZXuf9Hiafj6Rpv%2FZWx%2B2vnfa5gBk9QSB8U0hOEunzDTpWxdx2ffi0Jd5NOzbLq0W0kZvtwtEZQxHYOoLl9NzX4rTcRaGeRn2eUuIQIX6Idr8IVETcOXllA947XEhGe2O6z4Cx8E%2B%2FW%2BtdCS%2FiQNmObkSxG2HsTjq0FohhFUcz1EfjoKoTYJ%2Fh%2B%2BDC2HJGfwI4PAfjx7xvGHhujw%2FD8yVa8Ix0%2Bi3iJZFeWD3OSH43r7fyn5Qru%2F%2FW6DxXQgyTe3%2FH2lr9dDvpPPhs90z8bdKqG9N%2BJIXl9kqdk%2BIIm3WfxRuruYR0uiQ11NzI8Dl0fDMvrB3dfFsf5TNJbUDC4iLCFDFnmQ3gZHsnI%2BZRijWgA8wXFcUiyGVekZ1yOR4CteNqqqI0QV7cbHnQRG%2F7TRMS7wmanqIbwtUc8Oa8ALghngVevIB%2FpG63A8OdhnqpxZHBWg137Gm83Vasa%2BUk5jlIFYqcglN6J7UhlByO7XYBrGbXJWtkOHRukYK6qOMffUq6MARrWU90dVpbDsbEAdA6IcVcPj2uAn0QBAMCoLRtxvGcw5LfwsCDac29PmeWdGn8lHt%2FFfTz5X2TadYP5qXbIDjIxPSufrSms2Dde4d5q69xGA2BmwFSWpB%2B82lw4X76J7Qf7YoVMBpmMWE05rnjXkInPs%2BPsyTYa0ooVLs1Hx8SrTaJeeU3Hi303tjW75IjdLk0MeB1v4Db8MBAywGdRCs2%2F5PP9h8G8gsgDPkLKQD%2F917BvGRfvuJ4NePCGGukzqQq%2FyuqfbfyTLob9J5cIcXkr2o0fFxfdMVJA%2BOZ7ojIscCrIPb8mzurhNaH6DtfGtlnWqvSr5vtAoDceJoTV8QyZP103KYCvv1grCSekILwQnKxu0bcfCnmmWuWEQZTDaLkCVxT1B3T7LnvmOvyHDafs5PzKauapnI7U2PcVWPI7sx5vRCv9OA2TxgjtFtLVj9fYlq%2F7zZI0EJ46f1rbYTVHqx92d0fWIp8e6RkW4WkqM%2BhQ8xBjXHo3d39t1ut3iTEm63JDTe21YFWyEiYdjgIQB0pSDJal%2BYPVvAb7tIVkx1HaPQOGOw%2BSf%2FDLTSJg2SrI9Q97W9hdiBVFnJwGyuNwd6YovlOISr%2F0dwIS1yScmFoIkTMLqu9arfxaUVFyyuTGzDO%2FOJVI1wNBoIh29K%2FYX98Ei3WauqK7D34ukvKIlzNKimZCclOxY7vD83ohI88sA50vqJlhx2sNBpHwHCzwRhbC18EVs56RVfnz0UZGvLqTd8I%3D,179.900,,False,True,MCO12214,  1652 vendidos,KONEET,,4.3,Nuevo
