id,uid,name,parent,href,hierarchy,subcategories
MCO117973,,Para Hogar,MCO438284,https://listado.mercadolibre.com.co/pequenos-electrodomesticos-hogar/#CATEGORY_ID=MCO117973&S=hc_electrodomesticos,3,0
MCO438285,,Otros,MCO438284,https://listado.mercadolibre.com.co/pequenos-electrodomesticos-otros/#CATEGORY_ID=MCO438285&S=hc_electrodomesticos,3,0
MCO30112,,Refrigeración,MCO5726,https://listado.mercadolibre.com.co/electrodomesticos/refrigeracion/#CATEGORY_ID=MCO30112&S=hc_electrodomesticos,2,8
MCO160451,,Cavas de Vino,MCO30112,https://listado.mercadolibre.com.co/electrodomesticos/refrigeracion/cavas-vino/#CATEGORY_ID=MCO160451&S=hc_electrodomesticos,3,0
MCO438227,,Cervezeras,MCO30112,https://listado.mercadolibre.com.co/refrigeracion-cervezeras/#CATEGORY_ID=MCO438227&S=hc_electrodomesticos,3,0
MCO115335,,Congeladores,MCO30112,https://listado.mercadolibre.com.co/electrodomesticos/refrigeracion/congeladores/#CATEGORY_ID=MCO115335&S=hc_electrodomesticos,3,0
MCO160450,,Minibares,MCO30112,https://listado.mercadolibre.com.co/electrodomesticos/refrigeracion/minibares/#CATEGORY_ID=MCO160450&S=hc_electrodomesticos,3,0
MCO115334,,Neveras y Nevecones,MCO30112,https://listado.mercadolibre.com.co/refrigeracion-neveras-nevecones/#CATEGORY_ID=MCO115334&S=hc_electrodomesticos,3,0
MCO176838,,Repuestos y Accesorios,MCO30112,https://listado.mercadolibre.com.co/refrigeracion-repuestos-accesorios/#CATEGORY_ID=MCO176838&S=hc_electrodomesticos,3,0
MCO160453,,Vitrinas Refrigeradas,MCO30112,https://listado.mercadolibre.com.co/electrodomesticos/refrigeracion/vitrinas-refrigeradas/#CATEGORY_ID=MCO160453&S=hc_electrodomesticos,3,0
MCO115336,,Otros,MCO30112,https://listado.mercadolibre.com.co/electrodomesticos/refrigeracion/otros/#CATEGORY_ID=MCO115336&S=hc_electrodomesticos,3,0
MCO1899,,Otros,MCO5726,https://listado.mercadolibre.com.co/electrodomesticos/otros/#CATEGORY_ID=MCO1899&S=hc_electrodomesticos,2,0
MCO416199,,Accesorios de Antiestática,MCO1648,https://computacion.mercadolibre.com.co/accesorios-antiestatica/#CATEGORY_ID=MCO416199&S=hc_computacion,2,8
MCO430643,,Batas Antiestática,MCO416199,https://computacion.mercadolibre.com.co/accesorios-antiestatica-batas/#CATEGORY_ID=MCO430643&S=hc_computacion,3,0
MCO416244,,Bolsas Antiestáticas,MCO416199,https://computacion.mercadolibre.com.co/accesorios-antiestatica-bolsas-antiestaticas/#CATEGORY_ID=MCO416244&S=hc_computacion,3,0
MCO416212,,Guantes Antiestáticos,MCO416199,https://computacion.mercadolibre.com.co/accesorios-antiestatica-guantes-antiestaticos/#CATEGORY_ID=MCO416212&S=hc_computacion,3,0
MCO430644,,Kit de Antiestática,MCO416199,https://computacion.mercadolibre.com.co/accesorios-antiestatica-kit/#CATEGORY_ID=MCO430644&S=hc_computacion,3,0
MCO416202,,Otros,MCO416199,https://computacion.mercadolibre.com.co/accesorios-antiestatica-otros/#CATEGORY_ID=MCO416202&S=hc_computacion,3,0
MCO416578,,Pinzas Antiestáticas,MCO416199,https://computacion.mercadolibre.com.co/accesorios-antiestatica-pinzas-antiestaticas/#CATEGORY_ID=MCO416578&S=hc_computacion,3,0
MCO416200,,Pulseras de Protección,MCO416199,https://computacion.mercadolibre.com.co/accesorios-antiestatica-pulseras-proteccion/#CATEGORY_ID=MCO416200&S=hc_computacion,3,0
MCO430642,,Tapete Antiestático,MCO416199,https://computacion.mercadolibre.com.co/accesorios-antiestatica-tapete-antiestatico/#CATEGORY_ID=MCO430642&S=hc_computacion,3,0
MCO447778,,Accesorios para PC Gaming,MCO1648,https://computacion.mercadolibre.com.co/accesorios-pc-gaming/#CATEGORY_ID=MCO447778&S=hc_computacion,2,7
MCO31377,,Audífonos,MCO447778,https://computacion.mercadolibre.com.co/accesorios-pc-gaming-audifonos/#CATEGORY_ID=MCO31377&S=hc_computacion,3,0
MCO2048,,Controles para Gamers,MCO447778,https://computacion.mercadolibre.com.co/accesorios-pc-gaming-controles-gamers/#CATEGORY_ID=MCO2048&S=hc_computacion,3,0
MCO447780,,Lentes VR,MCO447778,https://computacion.mercadolibre.com.co/accesorios-pc-gaming-lentes-vr/#CATEGORY_ID=MCO447780&S=hc_computacion,3,0
MCO441395,,Micrófonos,MCO447778,https://computacion.mercadolibre.com.co/accesorios-pc-gaming-microfonos/#CATEGORY_ID=MCO441395&S=hc_computacion,3,0
MCO447782,,Sillas Gamer,MCO447778,https://computacion.mercadolibre.com.co/accesorios-pc-gaming-sillas-gamer/#CATEGORY_ID=MCO447782&S=hc_computacion,3,0
MCO447783,,Tarjetas Prepagas para Juegos,MCO447778,https://computacion.mercadolibre.com.co/accesorios-pc-gaming-tarjetas-prepagas-juegos/#CATEGORY_ID=MCO447783&S=hc_computacion,3,0
MCO447784,,Otros,MCO447778,https://computacion.mercadolibre.com.co/accesorios-pc-gaming-otros/#CATEGORY_ID=MCO447784&S=hc_computacion,3,0
MCO430598,,Almacenamiento,MCO1648,https://computacion.mercadolibre.com.co/almacenamiento/#CATEGORY_ID=MCO430598&S=hc_computacion,2,7
MCO1669,,Discos y Accesorios,MCO430598,https://computacion.mercadolibre.com.co/almacenamiento-discos-accesorios/#CATEGORY_ID=MCO1669&S=hc_computacion,3,0
MCO441513,,Disquetes,MCO430598,https://computacion.mercadolibre.com.co/almacenamiento-disquetes/#CATEGORY_ID=MCO441513&S=hc_computacion,3,0
MCO430183,,Emuladores de Disqueteras,MCO430598,https://computacion.mercadolibre.com.co/almacenamiento-emuladores-disqueteras/#CATEGORY_ID=MCO430183&S=hc_computacion,3,0
MCO5027,,Memorias Portátiles USB,MCO430598,https://computacion.mercadolibre.com.co/almacenamiento-memorias-portatiles-usb/#CATEGORY_ID=MCO5027&S=hc_computacion,3,0
MCO441515,,Tape Backups,MCO430598,https://computacion.mercadolibre.com.co/almacenamiento-tape-backups/#CATEGORY_ID=MCO441515&S=hc_computacion,3,0
MCO416580,,USB Padlocks,MCO430598,https://computacion.mercadolibre.com.co/almacenamiento-usb-padlocks/#CATEGORY_ID=MCO416580&S=hc_computacion,3,0
MCO430604,,Otros,MCO430598,https://computacion.mercadolibre.com.co/almacenamiento-otros/#CATEGORY_ID=MCO430604&S=hc_computacion,3,0
MCO430918,,Cables y Hubs USB,MCO1648,https://computacion.mercadolibre.com.co/cables-hubs-usb/#CATEGORY_ID=MCO430918&S=hc_computacion,2,3
MCO1715,,Cables y Conectores,MCO430918,https://computacion.mercadolibre.com.co/cables-hubs-usb-conectores/#CATEGORY_ID=MCO1715&S=hc_computacion,3,0
MCO441516,,Hubs USB,MCO430918,https://computacion.mercadolibre.com.co/cables-hubs-us/#CATEGORY_ID=MCO441516&S=hc_computacion,3,0
MCO430919,,Otros,MCO430918,https://computacion.mercadolibre.com.co/cables-hubs-usb-otros/#CATEGORY_ID=MCO430919&S=hc_computacion,3,0
MCO441358,,Componentes de PC,MCO1648,https://computacion.mercadolibre.com.co/componentes-pc/#CATEGORY_ID=MCO441358&S=hc_computacion,2,18
MCO1692,,Boards,MCO441358,https://computacion.mercadolibre.com.co/componentes-pc-boards/#CATEGORY_ID=MCO1692&S=hc_computacion,3,0
MCO6932,,Capturadoras,MCO441358,https://computacion.mercadolibre.com.co/componentes-pc-capturadoras/#CATEGORY_ID=MCO6932&S=hc_computacion,3,0
MCO441519,,Chasis de PC y Soportes,MCO441358,https://computacion.mercadolibre.com.co/componentes-pc-chasis-soportes/#CATEGORY_ID=MCO441519&S=hc_computacion,3,0
MCO430788,,Coolers y Ventiladores,MCO441358,https://computacion.mercadolibre.com.co/componentes-pc-coolers-ventiladores/#CATEGORY_ID=MCO430788&S=hc_computacion,3,0
MCO430796,,Discos y Accesorios,MCO441358,https://computacion.mercadolibre.com.co/componentes-pc-discos-accesorios/#CATEGORY_ID=MCO430796&S=hc_computacion,3,0
MCO441517,,Disqueteras,MCO441358,https://computacion.mercadolibre.com.co/componentes-pc-disqueteras/#CATEGORY_ID=MCO441517&S=hc_computacion,3,0
MCO430895,,Emuladores de Disqueteras,MCO441358,https://computacion.mercadolibre.com.co/componentes-pc-emuladores-disqueteras/#CATEGORY_ID=MCO430895&S=hc_computacion,3,0
MCO430916,,Fuentes de Alimentación,MCO441358,https://computacion.mercadolibre.com.co/componentes-pc-fuentes-alimentacion/#CATEGORY_ID=MCO430916&S=hc_computacion,3,0
MCO430911,,Lectores Internos de Discos,MCO441358,https://computacion.mercadolibre.com.co/componentes-pc-lectores-internos-discos/#CATEGORY_ID=MCO430911&S=hc_computacion,3,0
MCO1694,,Memorias RAM,MCO441358,https://computacion.mercadolibre.com.co/componentes-pc-memorias-ram/#CATEGORY_ID=MCO1694&S=hc_computacion,3,0
