id,uid,parent,name,href,index,hierarchy,subcategories
MCO1747,,,Accesorios para Vehículos,https://www.mercadolibre.com.co/c/accesorios-para-vehiculos#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1747&c_uid=b5eb7110-897f-11eb-92b0-d9ebe43d611f,0,1,19
MCO441917,,,Agro,https://www.mercadolibre.com.co/c/agro#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO441917&c_uid=b5eb9820-897f-11eb-92b0-d9ebe43d611f,1,1,8
MCO1403,,,Alimentos y Bebidas,https://www.mercadolibre.com.co/c/alimentos-y-bebidas#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1403&c_uid=b5eb9821-897f-11eb-92b0-d9ebe43d611f,2,1,7
MCO1071,,,Animales y Mascotas,https://www.mercadolibre.com.co/c/animales-y-mascotas#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1071&c_uid=b5eb9822-897f-11eb-92b0-d9ebe43d611f,3,1,10
MCO1367,,,Antigüedades y Colecciones,https://www.mercadolibre.com.co/c/antiguedades-y-colecciones#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1367&c_uid=b5f498d0-897f-11eb-92b0-d9ebe43d611f,4,1,8
MCO1368,,,"Arte, Papelería y Mercería",https://www.mercadolibre.com.co/c/arte-papeleria-y-merceria#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1368&c_uid=b5eb9823-897f-11eb-92b0-d9ebe43d611f,5,1,8
MCO1384,,,Bebés,https://www.mercadolibre.com.co/c/bebes#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1384&c_uid=b5f50e00-897f-11eb-92b0-d9ebe43d611f,6,1,15
MCO1246,,,Belleza y Cuidado Personal,https://www.mercadolibre.com.co/c/belleza-y-cuidado-personal#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1246&c_uid=b5eb9824-897f-11eb-92b0-d9ebe43d611f,7,1,13
MCO40433,,,Boletas para Espectáculos,https://www.mercadolibre.com.co/c/boletas-para-espectaculos#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO40433&c_uid=b5eb9825-897f-11eb-92b0-d9ebe43d611f,8,1,7
MCO1039,,,Cámaras y Accesorios,https://www.mercadolibre.com.co/c/camaras-y-accesorios#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1039&c_uid=b5f9f000-897f-11eb-92b0-d9ebe43d611f,9,1,11
MCO1743,,,"Carros, Motos y Otros",https://www.mercadolibre.com.co/vehiculos/#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1743&c_uid=b5eb9826-897f-11eb-92b0-d9ebe43d611f,10,1,7
MCO1051,,,Celulares y Teléfonos,https://www.mercadolibre.com.co/c/celulares-y-telefonos#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1051&c_uid=b5eb9827-897f-11eb-92b0-d9ebe43d611f,11,1,10
MCO1648,,,Computación,https://www.mercadolibre.com.co/c/computacion#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1648&c_uid=b5eb9828-897f-11eb-92b0-d9ebe43d611f,12,1,20
MCO1144,,,Consolas y Videojuegos,https://www.mercadolibre.com.co/c/consolas-y-videojuegos#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1144&c_uid=b5f6bbb0-897f-11eb-92b0-d9ebe43d611f,13,1,7
MCO172890,,,Construcción,https://www.mercadolibre.com.co/c/construccion#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO172890&c_uid=b5fc12e0-897f-11eb-92b0-d9ebe43d611f,14,1,11
MCO1276,,,Deportes y Fitness,https://www.mercadolibre.com.co/c/deportes-y-fitness#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1276&c_uid=b5ec3460-897f-11eb-92b0-d9ebe43d611f,15,1,40
MCO5726,,,Electrodomésticos,https://www.mercadolibre.com.co/c/electrodomesticos#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO5726&c_uid=b5ec3461-897f-11eb-92b0-d9ebe43d611f,16,1,8
MCO1000,,,"Electrónica, Audio y Video",https://www.mercadolibre.com.co/c/electronica-audio-y-video#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1000&c_uid=b5ec3462-897f-11eb-92b0-d9ebe43d611f,17,1,15
MCO175794,,,Herramientas,https://www.mercadolibre.com.co/c/herramientas#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO175794&c_uid=b5ec3463-897f-11eb-92b0-d9ebe43d611f,18,1,9
MCO1574,,,Hogar y Muebles,https://www.mercadolibre.com.co/c/hogar-y-muebles#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1574&c_uid=b5ec3464-897f-11eb-92b0-d9ebe43d611f,19,1,12
MCO1499,,,Industrias y Oficinas,https://www.mercadolibre.com.co/c/industrias-y-oficinas#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1499&c_uid=b5ec3465-897f-11eb-92b0-d9ebe43d611f,20,1,13
MCO1459,,,Inmuebles,http://www.mercadolibre.com.co/inmuebles/#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1459&c_uid=b5ec3466-897f-11eb-92b0-d9ebe43d611f,21,1,15
MCO1182,,,Instrumentos Musicales,https://www.mercadolibre.com.co/c/instrumentos-musicales#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1182&c_uid=b5ec3467-897f-11eb-92b0-d9ebe43d611f,22,1,12
MCO1132,,,Juegos y Juguetes,https://www.mercadolibre.com.co/c/juegos-y-juguetes#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1132&c_uid=b5ec3468-897f-11eb-92b0-d9ebe43d611f,23,1,25
MCO3025,,,"Libros, Revistas y Comics",https://www.mercadolibre.com.co/c/libros-revistas-y-comics#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO3025&c_uid=b5ec3469-897f-11eb-92b0-d9ebe43d611f,24,1,6
MCO1168,,,"Música, Películas y Series",https://www.mercadolibre.com.co/c/musica-peliculas-y-series#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1168&c_uid=b5ec346a-897f-11eb-92b0-d9ebe43d611f,25,1,5
MCO118204,,,"Recuerdos, Piñatería y Fiestas",https://www.mercadolibre.com.co/c/recuerdos-pinateria-y-fiestas#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO118204&c_uid=b5fb2880-897f-11eb-92b0-d9ebe43d611f,26,1,10
MCO3937,,,Relojes y Joyas,https://www.mercadolibre.com.co/c/relojes-y-joyas#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO3937&c_uid=b5ec346b-897f-11eb-92b0-d9ebe43d611f,27,1,11
MCO1430,,,Ropa y Accesorios,https://www.mercadolibre.com.co/c/ropa-y-accesorios#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1430&c_uid=b5ec346c-897f-11eb-92b0-d9ebe43d611f,28,1,24
MCO180800,,,Salud y Equipamiento Médico,https://www.mercadolibre.com.co/c/salud-y-equipamiento-medico#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO180800&c_uid=b5ec346d-897f-11eb-92b0-d9ebe43d611f,29,1,8
MCO1540,,,Servicios,https://www.mercadolibre.com.co/c/servicios#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1540&c_uid=b5ec346e-897f-11eb-92b0-d9ebe43d611f,30,1,13
MCO1953,,,Otras categorías,https://www.mercadolibre.com.co/c/otras-categorias#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1953&c_uid=b5f7a610-897f-11eb-92b0-d9ebe43d611f,31,1,13
