id,uid,parent,name,href,index,hierarchy,subcategories
MCO392348,,MCO437028,Selladores,https://vehiculos.mercadolibre.com.co/limpieza-selladores/#CATEGORY_ID=MCO392348&S=hc_accesorios-para-vehiculos,12,3,0
MCO431863,,MCO437028,Shampoo para Autos,https://vehiculos.mercadolibre.com.co/limpieza-shampoo-autos/#CATEGORY_ID=MCO431863&S=hc_accesorios-para-vehiculos,13,3,0
MCO363814,,MCO437028,Tratamientos,https://vehiculos.mercadolibre.com.co/limpieza-tratamientos/#CATEGORY_ID=MCO363814&S=hc_accesorios-para-vehiculos,14,3,0
MCO437030,,MCO437028,Otros,https://vehiculos.mercadolibre.com.co/limpieza-otros/#CATEGORY_ID=MCO437030&S=hc_accesorios-para-vehiculos,15,3,0
MCO8415,,MCO1747,Llantas,https://vehiculos.mercadolibre.com.co/llantas/#CATEGORY_ID=MCO8415&S=hc_accesorios-para-vehiculos,8,2,12
MCO441965,,MCO8415,Alineación y Balanceo,https://vehiculos.mercadolibre.com.co/llantas-alineacion-balanceo/#CATEGORY_ID=MCO441965&S=hc_accesorios-para-vehiculos,0,3,0
MCO441961,,MCO8415,Llantas Agrícolas,https://vehiculos.mercadolibre.com.co/llantas-agricolas/#CATEGORY_ID=MCO441961&S=hc_accesorios-para-vehiculos,1,3,0
MCO417319,,MCO439804,Butacas para Cines y Teatros,https://listado.mercadolibre.com.co/equipamiento-comercios-butacas-cines-teatros/#CATEGORY_ID=MCO417319&S=hc_industrias-y-oficinas,1,3,0
MCO413530,,MCO439804,Carros de Supermercado,https://listado.mercadolibre.com.co/equipamiento-comercios-carros-supermercado/#CATEGORY_ID=MCO413530&S=hc_industrias-y-oficinas,2,3,0
MCO454777,,MCO439804,Cobro y Control,https://listado.mercadolibre.com.co/equipamiento-comercial-cobro-control/#CATEGORY_ID=MCO454777&S=hc_industrias-y-oficinas,3,3,0
MCO414160,,MCO439804,Cortinas Frigoríficas,https://listado.mercadolibre.com.co/equipamiento-comercios-cortinas-frigorificas/#CATEGORY_ID=MCO414160&S=hc_industrias-y-oficinas,4,3,0
MCO417247,,MCO439804,Cortinas Metálicas,https://listado.mercadolibre.com.co/equipamiento-comercios-cortinas-metalicas/#CATEGORY_ID=MCO417247&S=hc_industrias-y-oficinas,5,3,0
MCO431742,,MCO439804,Dispensadores de Vasos,https://listado.mercadolibre.com.co/equipamiento-comercios-dispensadores-vasos/#CATEGORY_ID=MCO431742&S=hc_industrias-y-oficinas,6,3,0
MCO454934,,MCO439804,Etiquetado de Mercadería,https://listado.mercadolibre.com.co/equipamiento-comercios-etiquetado-mercaderia/#CATEGORY_ID=MCO454934&S=hc_industrias-y-oficinas,7,3,0
MCO439809,,MCO439804,Máquinas Expendedoras,https://listado.mercadolibre.com.co/equipamiento-comercios-maquinas-expendedoras/#CATEGORY_ID=MCO439809&S=hc_industrias-y-oficinas,8,3,0
MCO454936,,MCO439804,Organización y Exhibición,https://listado.mercadolibre.com.co/equipamiento-comercios-organizacion-exhibicion/#CATEGORY_ID=MCO454936&S=hc_industrias-y-oficinas,9,3,0
MCO439811,,MCO439804,Tarificadores y Cabinas,https://listado.mercadolibre.com.co/equipamiento-comercios-tarificadores-cabinas/#CATEGORY_ID=MCO439811&S=hc_industrias-y-oficinas,10,3,0
MCO414024,,MCO439804,Tiqueteras de Turnos,https://listado.mercadolibre.com.co/equipamiento-comercios-tiqueteras-turnos/#CATEGORY_ID=MCO414024&S=hc_industrias-y-oficinas,11,3,0
MCO439819,,MCO439804,Otros,https://listado.mercadolibre.com.co/equipamiento-comercial-otros/#CATEGORY_ID=MCO439819&S=hc_industrias-y-oficinas,12,3,0
MCO2102,,MCO1499,Equipamiento para Oficinas,https://listado.mercadolibre.com.co/industrias-y-oficinas/equipamiento/#CATEGORY_ID=MCO2102&S=hc_industrias-y-oficinas,4,2,11
MCO175792,,MCO166256,Alfombras de Baño,https://listado.mercadolibre.com.co/hogar-muebles/bano/alfombras/#CATEGORY_ID=MCO175792&S=hc_hogar-y-muebles,1,3,0
MCO441383,,MCO166256,Barras y Cortinas de Baño,https://listado.mercadolibre.com.co/banos-barras-cortinas-bano/#CATEGORY_ID=MCO441383&S=hc_hogar-y-muebles,2,3,0
MCO441492,,MCO166256,Cabinas para Baño,https://listado.mercadolibre.com.co/banos-cabinas-bano/#CATEGORY_ID=MCO441492&S=hc_hogar-y-muebles,3,3,0
MCO383737,,MCO166256,Espejos para Baños,https://listado.mercadolibre.com.co/banos-espejos/#CATEGORY_ID=MCO383737&S=hc_hogar-y-muebles,4,3,0
MCO417010,,MCO166256,Generadores de Vapor,https://listado.mercadolibre.com.co/banos-generadores-vapor/#CATEGORY_ID=MCO417010&S=hc_hogar-y-muebles,5,3,0
MCO166998,,MCO166256,Grifería para Baño,https://listado.mercadolibre.com.co/banos-griferia-bano/#CATEGORY_ID=MCO166998&S=hc_hogar-y-muebles,6,3,0
MCO412391,,MCO166256,Lavamanos para Baño,https://listado.mercadolibre.com.co/banos-lavamanos-bano/#CATEGORY_ID=MCO412391&S=hc_hogar-y-muebles,7,3,0
MCO414062,,MCO166256,Platos de Ducha,https://listado.mercadolibre.com.co/banos-platos-ducha/#CATEGORY_ID=MCO414062&S=hc_hogar-y-muebles,8,3,0
MCO412384,,MCO166256,Sanitarios,https://listado.mercadolibre.com.co/banos-sanitari/#CATEGORY_ID=MCO412384&S=hc_hogar-y-muebles,9,3,0
MCO416214,,MCO166256,Sifones de Desague,https://listado.mercadolibre.com.co/banos-sifones-desague/#CATEGORY_ID=MCO416214&S=hc_hogar-y-muebles,10,3,0
MCO443824,,MCO166256,Tinas,https://listado.mercadolibre.com.co/banos-tinas/#CATEGORY_ID=MCO443824&S=hc_hogar-y-muebles,11,3,0
MCO441470,,MCO166256,Toallas y Batas,https://listado.mercadolibre.com.co/banos-toallas-batas/#CATEGORY_ID=MCO441470&S=hc_hogar-y-muebles,12,3,0
MCO166994,,MCO166256,Otros,https://listado.mercadolibre.com.co/hogar-muebles/bano/otros/#CATEGORY_ID=MCO166994&S=hc_hogar-y-muebles,13,3,0
MCO441249,,MCO1574,"Camas, Colchones y Accesorios",https://listado.mercadolibre.com.co/camas-colchones-accesorios/#CATEGORY_ID=MCO441249&S=hc_hogar-y-muebles,2,2,9
MCO116389,,MCO441249,Almohadas,https://listado.mercadolibre.com.co/colchones-sommiers-almohadas/#CATEGORY_ID=MCO116389&S=hc_hogar-y-muebles,0,3,0
