id,uid,parent,name,href,index,hierarchy,subcategories
MCO3025,,,"Libros, Revistas y Comics",https://www.mercadolibre.com.co/c/libros-revistas-y-comics#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO3025&c_uid=001d46f8-8980-11eb-a980-f31648a7fc15,24,1,6
MCO1168,,,"Música, Películas y Series",https://www.mercadolibre.com.co/c/musica-peliculas-y-series#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1168&c_uid=001d46f9-8980-11eb-a980-f31648a7fc15,25,1,5
MCO118204,,,"Recuerdos, Piñatería y Fiestas",https://www.mercadolibre.com.co/c/recuerdos-pinateria-y-fiestas#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO118204&c_uid=001d46fa-8980-11eb-a980-f31648a7fc15,26,1,10
MCO3937,,,Relojes y Joyas,https://www.mercadolibre.com.co/c/relojes-y-joyas#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO3937&c_uid=001d46fb-8980-11eb-a980-f31648a7fc15,27,1,11
MCO1430,,,Ropa y Accesorios,https://www.mercadolibre.com.co/c/ropa-y-accesorios#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1430&c_uid=001d46fc-8980-11eb-a980-f31648a7fc15,28,1,24
MCO180800,,,Salud y Equipamiento Médico,https://www.mercadolibre.com.co/c/salud-y-equipamiento-medico#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO180800&c_uid=001d46fd-8980-11eb-a980-f31648a7fc15,29,1,8
MCO1540,,,Servicios,https://www.mercadolibre.com.co/c/servicios#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1540&c_uid=001d46fe-8980-11eb-a980-f31648a7fc15,30,1,13
MCO1953,,,Otras categorías,https://www.mercadolibre.com.co/c/otras-categorias#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1953&c_uid=00255d40-8980-11eb-a980-f31648a7fc15,31,1,13
MCO1100,,MCO1071,Aves,https://listado.mercadolibre.com.co/animales-mascotas/aves/#CATEGORY_ID=MCO1100&S=hc_animales-y-mascotas,0,2,11
MCO437312,,MCO1100,Alimentos,https://listado.mercadolibre.com.co/aves-alimentos/#CATEGORY_ID=MCO437312&S=hc_animales-y-mascotas,0,3,0
MCO429115,,MCO1100,Anillos,https://listado.mercadolibre.com.co/aves-anillos/#CATEGORY_ID=MCO429115&S=hc_animales-y-mascotas,1,3,0
MCO1101,,MCO1100,Aves,https://listado.mercadolibre.com.co/animales-mascotas/aves/aves/#CATEGORY_ID=MCO1101&S=hc_animales-y-mascotas,2,3,0
MCO170212,,MCO1100,Bebederos y Comederos,https://listado.mercadolibre.com.co/aves-bebederos-comederos/#CATEGORY_ID=MCO170212&S=hc_animales-y-mascotas,3,3,0
MCO434841,,MCO1100,Cetrería,https://listado.mercadolibre.com.co/aves-cetreria/#CATEGORY_ID=MCO434841&S=hc_animales-y-mascotas,4,3,0
MCO429112,,MCO1100,Huevos Fértiles,https://listado.mercadolibre.com.co/aves-huevos-fertiles/#CATEGORY_ID=MCO429112&S=hc_animales-y-mascotas,5,3,0
MCO116335,,MCO1100,Incubadoras,https://listado.mercadolibre.com.co/aves-incubadoras/#CATEGORY_ID=MCO116335&S=hc_animales-y-mascotas,6,3,0
MCO116336,,MCO1100,Jaulas,https://listado.mercadolibre.com.co/aves-jaulas/#CATEGORY_ID=MCO116336&S=hc_animales-y-mascotas,7,3,0
MCO418087,,MCO1100,Juguetes,https://listado.mercadolibre.com.co/aves-juguetes/#CATEGORY_ID=MCO418087&S=hc_animales-y-mascotas,8,3,0
MCO434840,,MCO1100,Nidos,https://listado.mercadolibre.com.co/aves-nidos/#CATEGORY_ID=MCO434840&S=hc_animales-y-mascotas,9,3,0
MCO1104,,MCO1100,Otros,https://listado.mercadolibre.com.co/animales-mascotas/aves/otros/#CATEGORY_ID=MCO1104&S=hc_animales-y-mascotas,10,3,0
MCO6142,,MCO1071,Caballos,https://listado.mercadolibre.com.co/animales-mascotas/caballos/#CATEGORY_ID=MCO6142&S=hc_animales-y-mascotas,1,2,7
MCO74409,,MCO6142,Artículos para Equitación,https://listado.mercadolibre.com.co/caballos-articulos-equitacion/#CATEGORY_ID=MCO74409&S=hc_animales-y-mascotas,0,3,0
MCO74404,,MCO6142,Caballos y Yeguas,https://listado.mercadolibre.com.co/animales-mascotas/caballos/caballos-yeguas/#CATEGORY_ID=MCO74404&S=hc_animales-y-mascotas,1,3,0
MCO429300,,MCO6142,Carretas,https://listado.mercadolibre.com.co/caballos-carretas/#CATEGORY_ID=MCO429300&S=hc_animales-y-mascotas,2,3,0
