id,uid,parent,name,href,index,hierarchy,subcategories
MCO1747,,,Accesorios para Vehículos,https://www.mercadolibre.com.co/c/accesorios-para-vehiculos#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1747&c_uid=6c1832c0-897b-11eb-bd68-151be6208d94,0,1,19
MCO441917,,,Agro,https://www.mercadolibre.com.co/c/agro#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO441917&c_uid=6c1832c1-897b-11eb-bd68-151be6208d94,1,1,8
MCO1403,,,Alimentos y Bebidas,https://www.mercadolibre.com.co/c/alimentos-y-bebidas#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1403&c_uid=6c1832c2-897b-11eb-bd68-151be6208d94,2,1,7
MCO1071,,,Animales y Mascotas,https://www.mercadolibre.com.co/c/animales-y-mascotas#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1071&c_uid=6c1832c3-897b-11eb-bd68-151be6208d94,3,1,10
MCO1367,,,Antigüedades y Colecciones,https://www.mercadolibre.com.co/c/antiguedades-y-colecciones#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1367&c_uid=6c1832c4-897b-11eb-bd68-151be6208d94,4,1,8
MCO1368,,,"Arte, Papelería y Mercería",https://www.mercadolibre.com.co/c/arte-papeleria-y-merceria#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1368&c_uid=6c1832c5-897b-11eb-bd68-151be6208d94,5,1,8
MCO1384,,,Bebés,https://www.mercadolibre.com.co/c/bebes#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1384&c_uid=6c1832c6-897b-11eb-bd68-151be6208d94,6,1,15
MCO1246,,,Belleza y Cuidado Personal,https://www.mercadolibre.com.co/c/belleza-y-cuidado-personal#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1246&c_uid=6c1832c7-897b-11eb-bd68-151be6208d94,7,1,13
MCO40433,,,Boletas para Espectáculos,https://www.mercadolibre.com.co/c/boletas-para-espectaculos#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO40433&c_uid=6c1832c8-897b-11eb-bd68-151be6208d94,8,1,7
MCO1039,,,Cámaras y Accesorios,https://www.mercadolibre.com.co/c/camaras-y-accesorios#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1039&c_uid=6c1832c9-897b-11eb-bd68-151be6208d94,9,1,11
